Lot Job,Type Description,Phase,Block,Lot,Model,Elevation,Ext Colour
1,Ryan - 36 ' ft's,1,1,1,,CL,
2,Ryan - 36 ' ft's,1,1,2,,PR,
3,Ryan - 36 ' ft's,1,1,3,,CL,
4,Ryan - 36 ' ft's,1,1,4,,,
5,Ryan - 36 ' ft's,1,2,5,,CL,
6,Ryan - 36 ' ft's,1,2,6,,CL,
7,Ryan - 36 ' ft's,1,2,7,,CL,
8,Ryan - 36 ' ft's,1,2,8,,,
9,Ryan - 36 ' ft's,1,3,9,,Cl,
10,Ryan - 36 ' ft's,1,3,10,,PR,
11,Ryan - 36 ' ft's,1,3,11,,CR,
12,Ryan - 36 ' ft's,1,3,12,,,
13,Ryan - 36 ' ft's,1,4,13,,,
14,Ryan - 36 ' ft's,1,4,14,,,
15,Ryan - 36 ' ft's,1,4,15,,,
16,Ryan - 36 ' ft's,1,4,16,,,
17,Ryan - 36 ' ft's,1,5,17,,CL,
18,Ryan - 36 ' ft's,1,5,18,,CL,
19,Ryan - 36 ' ft's,1,5,19,,,
20,Ryan - 36 ' ft's,1,5,20,,,
21,Ryan - 36 ' ft's,1,6,21,,CL,
22,Ryan - 36 ' ft's,1,6,22,,CL,
23,Ryan - 36 ' ft's,1,6,23,,CR,
24,Ryan - 36 ' ft's,1,6,24,,CR,
25,Ryan - 36 ' ft's,1,6,25,,,
26,Ryan - 36 ' ft's,1,7,26,,CL,
27,Ryan - 36 ' ft's,1,7,27,,CL,
28,Ryan - 36 ' ft's,1,7,28,,CR,
29,Ryan - 36 ' ft's,1,7,29,,CR,
30,Ryan - 36 ' ft's,1,7,30,,PR,
31,Ryan - 36 ' ft's,1,7,31,,,
